公司,城市,简评,结果,难度,自评
成都陌陌科技有限公司,成都,数据分析，面试是两个女的主管都戴眼镜，一个很强势一个比较安静，主要问了之前相关工作主要负责的那一块，最后说的是一共会有三面，但是自己感觉面得不怎么样。,感觉没戏,一般,一般
今日头条南京,北京,数据分析，感觉一般，最终未通过。,面试未通过,困难,一般
志邦橱柜,合肥,说是数据分析，进去听那个面试的说工作内容就是客服，客服就直接写客服啊，还非要搞个数据分析放在上面，害我白跑一趟。,感觉没戏,很容易,不好
便利蜂,北京,面的数据分析，偏策略，和个人意向不符合。所以来之前先电话面试很必要，完全浪费时间啊～希望Hr以后不要瞎推人。,感觉靠谱,很容易,很好
京东,北京,面的是偏业务的数据分析，只有一轮，两个面试官一起，主要还是对简历进行提问，深挖简历为什么想做这个工作，还有excel基础函数。,面试未通过,一般,一般
平安普惠投资咨询有限公司,深圳,数据分析岗位，hr面很专业，业务经理面试很随意，问了爱好，别人的评价等和专业无关的问题。最后hr还加了微信，还以为有戏，刚问了结果说我经验少了点，好吧。,面试未通过,一般,很好
北京力众华援,北京,先是一份笔试题，有sql语句书写，python基础，还有excel的知识，还有数据处理的部分岗位数据分析，感觉知识比较杂，工资不太高公司看起来还是挺靠谱，面试两轮，一轮人事，问些个人情况。二轮运营的领导，问些技术方面，数据处理方面的问题。,感觉没戏,一般,一般
映客,北京,数据分析岗位，一共面了4面，一面主要围绕业务，问了1小时，会假设各种情景，问到想不出来。二面问了一些推荐算法方面的，三面hr问，四面也是hr问，还问了一些业务场景。然后让我回去等消息，说一周给通知，感觉4面对我不怎么满意，估计挂了。因为之前我看他们就是给挂了的人这么说。,感觉没戏,有难度,一般
上海恒格信息科技有限公司,上海,<p>面试数据分析，一系列流程都走完了，我房子都租好了，即将入职了，offer也发了，结果在入职前一天，见了甲方，说我不合适，面试流程存在很大问题，我房子都租好了，给我带来了经济损失。</p><p>我把这段经历分享在这里，希望大家引以为戒，不要去这家公司，就是一个外包公司，这么糊弄人的，肯定**！</p>,面试未通过,一般,不好
宜开<em class=\,南京,不出所料，机试没过。比想象中的难度要大很多，要用到python或R语言的，之前以为可以用SPSS。结果才发现正经的业务处理SPSS根本实现不了这些功能，做数据分析还是要学会python的。不过公司的人挺好的，负责机试的小哥哥人超好，很耐心的给我讲解，让我增长了见识，认识到了自身的不足，也明白了未来想从事这份职业应该补足哪些短板。整个过程还是很愉快的，长了见识，拓展了眼界。,面试未通过,困难,很好
平安财产保险,深圳,数据分析的技巧,面试未通过,困难,不好
杭州铕人网络科技有限公司,杭州,<p>1、自我介绍；</p><p>2、介绍一下自己的科研（虽然和产品岗位没有关系，但介绍的过程主要考察逻辑能力，所以还是要提前好好准备一下哦）；</p><p>3、提出一个具体案例（需要提前了解一下公司的APP啦，叫路口），分析一下可能的情况。会给10分钟的思考时间，记得理好思路哦；</p><p>4、你对于自己未来的工作有什么期待；</p><p>5、有什么疑问</p>,感觉靠谱,一般,很好
京东金融,北京,网上笔试后，去海景路那面试，显示让你做一份题，有统计，数据库，算法这三个方面的题，完了就是经历面试，挺难得。,面试未通过,困难,不好
北京移动,北京,面试时间3点半，在一个酒店四层，到了后，交简历和身份证复印件，面试分为群面和一对一，群面是设计一个场景，最后要复盘，我们组进行时过于纠结场景，花费太多时间，以至于复盘都没开始，群面过程中hr一直在敲键盘，尽量多发言，结束后是一对一，简单的提了几个问题，自己的优势，实习经历，还有薪资要求。,面试未通过,一般,不好
滴滴出行,北京,先是面试 问了好多 然后7天后发了笔试 主要是sql python 暂无第二次面试 好焦急,感觉靠谱,一般,一般
TATA 信息技术(上海)有限公司,上海,分笔试和面试。笔试主要是英语翻译和逻辑题，比较简单。面试是项目经理面试，介绍部门和职位的内容责任，问下工作经历，展开一些快速消费品行业性和技术性的讨论。,感觉靠谱,有难度,很好
北京我爱我家,北京,属于比较基层的岗位，所以也不难，面试官也挺好相处的，就是工资有点低。,感觉靠谱,很容易,一般
猪八戒,北京,面试三轮，问了常用的机器学习算法，和常用的工具，面试官很亲切，工作氛围很好，同事们都很热心，喜欢帮助人，领导很和蔼。,面试通过,有难度,很好
vivo智能手机,东莞,深挖简历项目，问项目还可以加什么feature，问了会不会hadoop，然而都不会。,面试未通过,有难度,一般
深圳市喜路汽车服务有限公司,深圳,面试过程比较简单，一方就是自我介绍及结合你的简历谈谈你做过工作以及经验。面试过程也很干净利落，一般只有一轮面试且耗时很短。面试之后就可以先回去，hr会对比其他应聘者的情况，如果决定要聘用你的话就会电话通知。,感觉没戏,很容易,很好
央视市场调差公司,北京,英文数据分析,面试通过,很容易,一般
冬竞投资有限公司深圳分公司,深圳,<p>三面，一周内完成。</p><p>一面HR：主要问了问简历上的情况，会什么数据分析技能。</p><p>二面team leader：给了商业情况，问如何实现整个流程，主要还是BI，自动化，主要用python，还问了一些数据分析项目的经历。</p><p>三面：boss面，问了问对电商的理解，还有给了很宏观的case让分析，考察一下数据敏感度。</p>,感觉靠谱,有难度,很好
VIPKID少儿英语/大米科技,北京,<p>两轮技术面，投的数据分析，但是想做算法，第一轮面试官了解到我想做算法就让我手撕代码，两个动规，一个逻辑题，一个类似于对业务的看法。</p><p>第二轮问我数据分析的东西，表示会的不多，然后面试官给了很多学习建议，然后说没问题，就推给了HR，HR没有面试，基本就简单聊了几句告诉我已经通过了，之后一个月内给正式offer~</p>,面试通过,有难度,很好
