,公司,城市,简评,结果,自评,难度
0,达梦<em class=\,武汉,笔试最后一题要做对，左旋的题目。,面试通过,有难度,很好
1,广州巨杉软件SequoiaDB,北京,&lt;p&gt;面试官不错 挺和蔼的 需要先做题 数据库基础 SQL语言练习以及Linux的题库 &amp;nbsp;然后会关心你的上手能力 因为北京这个会把你外包走 需要能立刻上手。&lt;/p&gt;,感觉没戏,困难,一般
2,VennData,北京,<p>数据库岗位，面试三轮，第一轮机试，7道左右sqlserver题；</p><p>第二轮脑筋急转弯，呵呵哒，入职后你会发现这公司经常会讨论一些脑筋急转弯题，以此为荣；</p><p>第三轮技术经理和老板面，期间有问到一些职业发展规划问题，因为公司岗位不具有成长性，满足不了什么个人发展，便会刻意忽悠否定你的职业规划。当你询问数据库具体工作内容时会模糊其辞，顾左右而言他。</p><p>入职后才知道工作内容对个人提升没什么帮助，不适合新手更不适合有经验的人。这些倒也能忍，最关键的是数据库组组长相当有领导架子，当这里是国企？大概也是数据库组人员流失较快的一个主要原因吧，到现在也就剩一个性格相当内敛、眼力不好的人还在干。</p>,面试通过,一般,一般
3,山东国研电力技术有限公司,济南,面试数据库，问了些数据库知识，主要是公司真正懂这方面东西的人少，经验不足，感觉工作一般，给的钱很少实习给3000。,感觉靠谱,一般,一般
4,广州银行信用卡中心,广州,笔试：数据库索引优缺点数据库：SQL 选取相同的项目汇总金额Sas一个变量一列计算总和逻辑题x*x-5x－1=0不能用公式和函数 写解题逻辑写一个排序算法思想数据分析随机森林算法思想好数据还是好模型 怎么定义好 好变量还是好模型随机森林和逻辑回归优缺点 业务题。,面试未通过,一般,一般
5,SAP labs,上海,数据库方面,面试通过,有难度,一般
6,阿里巴巴,杭州,问了好多数据库，所以没过。,面试未通过,有难度,不好
7,上海大智慧软件公司,合肥,sol数据库,面试未通过,一般,一般
8,音泰思计算机技术（成都）有限公司,成都,注重数据库，只问了数据库，感觉很奇怪，真的是有力使不出的感觉。数据结构，算法，java基础，java框架一个都没问。,面试未通过,很容易,不好
9,武汉永兴元,武汉,关于这两个方面的知识比较多 笔试部分实在是太多了 其他公司也就一页纸 他们公司三页纸,感觉没戏,一般,一般
0,武汉永兴元,武汉,关于这两个方面的知识比较多 笔试部分实在是太多了 其他公司也就一页纸 他们公司三页纸,感觉没戏,一般,一般
1,mobike摩拜单车,北京,"应聘数据库职位，不明原因被hr分配了个大数据职位的面试，可能看到我有大数据项目经验吧。将错就错就面了下，讲到我做过的一个sqoop数据接入经历用到了ogg,面试官质疑了下，可能没听清楚，我解释说oracle golden gate,面试官依然没听懂，我继续解释使用它做了个中转库以保证数据源的查询能力，面试官质疑为什么不能在备库上直接查，这就很尴尬了，我之前交代过数据源是RAC的而且数据量巨大增量也相当大保障不了查询能力进而做了中转库及时删除历史数据的solution,还能问出问什么不在备库上查这种业余的问题？继而我又解释了下rac是share disk架构，是多活的，面试官质疑&quot;多活？那是怎么保障数据一致性的？&quot;无奈又给他解释了下share disk。我也不是Oracle dba,但大家都是折腾数据的，好歹也要了解一下吧。",感觉没戏,很容易,不好
2,西安合众思壮导航技术有限公司,西安,主要是hr通知面试，然后是技术主管面试并询问相关数据的知识，比如数据库的增删改查之类的，考核的不是太难。,感觉靠谱,困难,很好
3,肇庆亚洲铝厂有限公司,肇庆,<p>1、问家庭背景；</p><p>2、问离开上一家的原因；</p><p>3、问sql的增删查改；</p><p>4、问薪资要求；</p><p>公司包吃包住，我技术都回答上了，薪资我开4500试用期，5000转正，一个星期过后没消息，所有没过。</p>,面试未通过,很容易,一般
4,软通动力,武汉,首先前台填写应聘登记表，然后技术经理面试，提供关于数据的优化的问题的，然后提供一些情况的编写sql语句。,面试未通过,有难度,一般
5,贝宝（PayPal）,上海,首先是hire manager聊了一些项目经历和数据库调优知识，后来是技术同事进行现场代码测试，主要针对Teradata和 Python.,面试未通过,有难度,一般
6,eBay,上海,电话面试内容有数据库、linux、java。英语自我介绍后可以说中文,面试未通过,有难度,一般
7,中软,西安,一个小伙子面试我，拿了个笔记本，看着我的简历，边问，边记，简单地问一下项目经验以及对某些技术的了解程度。,面试通过,一般,一般
8,万得资讯,南京,还行，就是问问一般的问题，数据库基础结构这类的。,面试未通过,有难度,一般
9,中兴软创,广州,问数据库，jdbc连接和sql语句查一段数据，没复习数据库，不怎么会，问实习经历，问有没有经历过加班之类的，java基础和数据结构，算法，设计模式什么都不问，感觉抓着笔试考得比较弱的方面详细问，看来以后笔试过不会的地方要马上复习了。,感觉没戏,一般,不好
